Spain;Costa Blanca;Jávea/Benitachell
Austria;Zillertal;Königsleiten
Germany;Black Forest;Baiersbronn
France;Brittany - Northern;Languenan
Switzerland;Bernese Oberland;Grindelwald
Italy;Siena and sourroundings;Monticiano
Spain;Costa Blanca;Pego
Italy;Sardinia;San Teodoro
Spain;Galicia;Mondariz
Belgium;Cities;Bruges
United Kingdom;South-East;Henfield
Austria;Tyrol;Nesselwängle
Germany;Eifel;Adenau
Spain;Inland Andalucia;Granada/Cacín
Austria;Tyrol;Walchsee
Italy;Sardinia;Cannigione
Germany;Upper Bavaria;Painten
France;Cote d'Azur;Sainte Maxime
Switzerland;Bernese Oberland;Axalp
Switzerland;Alpes Vaudoises;Château d'Oex
Portugal;Algarve;Albufeira
Italy;Sardinia;Costa Paradiso
Ireland;West Ireland;Achill Island
France;Pyrénées-Orientales;Saint Cyprien
Spain;Mallorca;Palma
France;Brittany - Southern;Bénodet
Spain;Costa Daurada;Salou
France;Cote d'Azur;Saint Cyr sur mer Les Lecques
Portugal;Lisbon-Tejo Valley;Ericeira
Spain;Costa Blanca;San Juan / Muchamiel
France;Poitou-Charentes;Vaux Sur Mer
France;Les Landes;Mezos
Finland;Lappi;Inari
Italy;Veneto;Venezia San Marco
France;Poitou-Charentes;Saint Georges de Didonne
Croatia;Kvarner;Novi Vinodolski
Switzerland;Valais;St Niklaus
Italy;Lucca, Pisa and surroundings;Pescia
Germany;Black Forest;Ichenheim
Italy;Veneto;Venice
Spain;Costa del Azahar;Alcocéber/Alcossebre
Spain;Costa Daurada;Cambrils
Austria;Tyrol;Hochfilzen
Spain;Costa Brava;Empuriabrava
Switzerland;Emmental;Biembach im Emmental
Italy;Tuscany Chianti;Colle Val d'Elsa
Norway;Southern Fjord Norway;Skjold
Denmark;Central Jutland;Ry
Italy;Sardinia;Porto San Paolo
Norway;Northern Fjord Norway;Nordfjordeid
Switzerland;Lake Zurich Region;Gibswil
Czech Republic;South Moravian Region;Horni Vestonice
Spain;Costa Daurada;L'Ampolla
Germany;Black Forest;Hüfingen
Italy;Lombardy;Bormio
Italy;Siena and sourroundings;Cetona
United Kingdom;Scotland;Inverness
Austria;Tyrol west;Fließ
Spain;Cantabria;Udías
Austria;Salzburg;Kaprun
Austria;Vienna;Vienna / 9. District
Austria;Tyrol;Neustift im Stubaital
Spain;Costa Blanca;Altea
Spain;Menorca;Cala'n Blanes
Spain;Costa Daurada;Amposta / Eucaliptus
France;Savoie - Haute Savoie;Samoëns/Morillon
Croatia;Kvarner;Lovran/Tuliševica
Switzerland;Eastern Switzerland;Trogen
Spain;Costa Brava;L'Estartit
Austria;Salzburg;Werfenweng
Italy;Lake Como;Plesio
France;Cote d'Azur;Cavalaire
France;Les Landes;Seignosse Le Penon
Switzerland;Bernese Oberland;Saanenmöser
Switzerland;Valais;Le Chable Bagnes
France;Ile-de-France;Paris/20
Italy;Tuscany Chianti;Monte San Savino
Austria;Vienna;Vienna / 4. District
France;Dauphinoise;L'Alpe d'Huez
Germany;Black Forest;Herrischried
Germany;Rhine - Mosel - Ahr - Lahn;Enkirch
Czech Republic;South Bohemia;Strmilov
France;Gironde;Lacanau
France;Ile-de-France;Paris/7
Spain;Costa del Sol;Valle del Guadalhorce / Alhaurín El Grande
Spain;Costa del Sol;Fuengirola
Germany;Lake Constance;Pfullendorf
Italy;Lake Maggiore;Castelveccana
Spain;Costa Blanca;Oliva
Switzerland;Bernese Oberland;Wilderswil-Interlaken
Italy;Sicily;Taormina
Austria;Vienna;Vienna/ 18. district
France;Savoie - Haute Savoie;La Toussuire
France;Corsica;Moriani Plage
Switzerland;Alpes Vaudoises;Alpe des Chaux
Austria;Tyrol;Schwaz
Ireland;Dublin;Swords
Spain;Costa Tropical;Almuñécar
Spain;Costa Blanca;Torrevieja
Switzerland;Bernese Oberland;Schönried
Italy;Veneto;Venezia Mestre
Croatia;South Dalmatia;Dubrovnik/Soline
Italy;Tuscany Chianti;Montaione
Spain;Galicia;Villagarcia Arosa
Denmark;East Jutland;Juelsminde
France;Hérault-Aude;Cap d'Agde
Switzerland;Viamala/Surses/Albulatal;Urmein
Austria;Gasteinertal;Bad Gastein
Spain;Tenerife;El Médano
Spain;Basque Country;Bilbo/Bilbao
France;Basque Country;Biarritz
Germany;Black Forest;Vogtsburg
Italy;Lake Garda;Tignale
Austria;Ötztal;Ötz
Netherlands;Zuid-Holland;Noordwijk
France;Loire Valley;Chinon
France;Burgundy;Semur en Auxois
Austria;Salzburg;Sankt Martin am Tennengebirge
Austria;Salzburg;Radstadt
Austria;Styria;Haus
Germany;Allgau;Nesselwang
Austria;Styria;Schladming
Austria;Montafon;Vandans
Austria;Tyrol;Fendels
Austria;Ötztal;Längenfeld
Austria;Tyrol;Jochberg
Austria;Carinthia;Görtschach
Austria;Tyrol;Maurach
Austria;Salzburg;Zell am See
Austria;Tyrol;Sankt Johann in Tirol
Austria;Salzburg;Bruck
Italy;Tuscany Chianti;Castellina in Chianti
Austria;Lower Austria;Litschau
Italy;Ischia/Capri/Procida;Ischia Ponte
United Kingdom;Greater London;London West
Croatia;North Dalmatia/Islands;Iž/Iž Mali
Austria;Carinthia;Mallnitz
Italy;Tuscany Chianti;Certaldo
Croatia;Istria;Trget
Austria;Tyrol;Innsbruck
Croatia;North Dalmatia;Sv. Filip i Jakov
Italy;Trasimeno Lake;Perugia
Austria;Salzburg;Salzburg
Italy;Veneto;Venezia Giudecca
Austria;Tyrol;Itter
Austria;Salzkammergut;Obertraun
Austria;Styria;Arnfels
Austria;Salzburg;Altenmarkt im Pongau
Austria;Styria;Hirschegg - Pack
France;Cote d'Azur;Port Grimaud
Croatia;Kvarner;Opatija/Pobri
Croatia;North Dalmatia;Novigrad (Zadar)
Austria;Salzkammergut;Bad Goisern am Hallstättersee
Austria;Vienna;Vienna / 2. District
Switzerland;Ticino;Piazzogna
Austria;Tyrol;Axams
Austria;Tyrol;Kappl
Austria;Carinthia;Bad Kleinkirchheim
Austria;Salzburg;Mittersill
Austria;Montafon;Tschagguns
Greece;Crete;Alikampos
Netherlands;Gelderland;Beekbergen
Croatia;South Dalmatia/Islands;Korčula/Prigradica
Austria;Carinthia;Heiligenblut
Austria;Lower Austria;Mautern an der Donau
Croatia;North Dalmatia/Islands;Pašman/Pašman
Hungary;Thermal;Kehidakustány
Austria;Zillertal;Aschau im Zillertal
Austria;Salzburg;Abtenau
Croatia;South Dalmatia;Orebić
Croatia;Istria;Pula/Banjole
Italy;Siena and sourroundings;Cinigiano
Austria;Upper Austria;Schlierbach
Italy;Tuscany Coast;Volterra
Croatia;North Dalmatia/Islands;Vir
Croatia;North Dalmatia;Zadar
Croatia;Istria;Pula/Rakalj
Croatia;North Dalmatia/Islands;Molat/Brgulje
Hungary;Lake Balaton - North Shore;Balatonalmadi/Balatonfuzfo
France;Cote d'Azur;Saint Aygulf
Croatia;Istria;Medulin
France;Les Landes;Capbreton
Croatia;Istria;Umag/Zambratija
Netherlands;Gelderland;Arnhem
Cyprus;Larnaca;Tochni
France;Hérault-Aude;Gruissan
Croatia;Central Dalmatia;Vodice/Tribunj
Croatia;South Dalmatia;Orebić/Viganj
France;Corsica;Ghisonaccia
Italy;Florence Countryside;Impruneta
Croatia;Istria;Pula/Krnica
Austria;Montafon;Sankt Gallenkirch
Croatia;North Dalmatia;Privlaka
Italy;Tuscany Coast;Montecatini Val di Cecina
Italy;Siena and sourroundings;Serre di Rapolano
Austria;Carinthia;St. Stefan im Lavanttal
Czech Republic;Prague and vicinity;Praha/1
Italy;Arezzo, Cortona and surroundings;Arezzo
Finland;Varsinais-Suomi Satakunta;Säkylä
Croatia;North Dalmatia/Islands;Silba/Silba
Croatia;Central Dalmatia;Trogir/Okrug Gornji
France;Auvergne;Langlerial
Switzerland;Ticino;Aldesago
Croatia;Istria;Umag
Croatia;Central Dalmatia/Islands;Šolta/Stomorska
Austria;Tyrol;Ried im Oberinntal
France;Provence;Saint-Rémy-de-Provence
Croatia;Istria;Fažana/Peroj
Croatia;North Dalmatia/Islands;Pašman/Banj
France;Provence;Bagnols en Forêt
Croatia;Istria;Štinjan
Italy;Florence Countryside;Loro Ciuffenna
Croatia;Istria;Pula
Netherlands;Zuid-Holland;Ouddorp
France;Ile-de-France;Paris/11
Belgium;Ardennes;Thy-le-Bauduin
Croatia;South Dalmatia/Islands;Korčula/Vela Luka
Croatia;Kvarner/Islands;Krk/Malinska
Croatia;Kvarner;Lovran
France;Cote d'Azur;Les Issambres
Italy;Elba Island;Elba Rio Marina
Spain;Mallorca;Cala San Vicente
Italy;Marche;San Benedetto del Tronto
Croatia;Central Dalmatia;Vodice
Italy;Elba Island;Elba Portoferraio
Switzerland;Ticino;Ascona
Croatia;Kvarner/Islands;Rab/Rab
Ireland;Cork and Kerry;Kenmare
Hungary;Lake Balaton - South Shore;Balatonbereny
Croatia;North Dalmatia/Islands;Pašman/Kraj
Croatia;Central Dalmatia/Islands;Hvar/Stiniva
Austria;Carinthia;Sirnitz - Hochrindl
Austria;Vienna;Vienna / 12. District
France;Brittany - Southern;Tregunc
Italy;Florence Countryside;Rufina
Croatia;South Dalmatia/Islands;Korčula/Lumbarda
Austria;Carinthia;Klippitztörl
Austria;Carinthia;Ossiach
Croatia;Central Dalmatia/Islands;Brač/Povlja
Croatia;South Dalmatia;Dubrovnik/Lozica
Hungary;Lake Balaton - South Shore;Balatonfenyves
Croatia;Istria;Rovinj
Austria;Tyrol;Seefeld in Tirol
Italy;Elba Island;Elba Capoliveri
Italy;Friuli-Venezia Giulia;Lignano Sabbiadoro
Finland;Uusimaa;Espoo
Italy;Friuli-Venezia Giulia;Lignano Riviera
Denmark;South-western Jutland;Rømø
Italy;Tuscany Chianti;Bucine
Italy;Abruzzo/Molise;Vasto
Austria;Vienna;Vienna / 13. District
Croatia;Istria;Sveti Petar u Šumi
Italy;Aosta Valley;Sarre
Italy;Arezzo, Cortona and surroundings;San Giustino Valdarno
Austria;Styria;Pernegg an der Mur
France;Gard-Lozère;Port Camargue
Croatia;North Dalmatia;Zaton
Croatia;Kvarner;Opatija/Ičići
Poland;Tatras;Zakopane
Italy;Sicily;Modica
Italy;Florence Countryside;Pontassieve
Hungary;Lake Balaton - South Shore;Balatonmariafurdo
Croatia;Kvarner;Crikvenica/Jadranovo
Croatia;Central Dalmatia;Marina/Sevid
Croatia;Kvarner/Islands;Rab/Kampor
Hungary;Lake Balaton - North Shore;Balatonfured/Pécsely
Croatia;Central Dalmatia;Brodarica
Netherlands;Zuid-Holland;Nieuwland
Croatia;Central Dalmatia/Islands;Brač/Postira
Italy;Siena and sourroundings;Siena
Italy;Marche;Gabicce Mare
Croatia;Istria;Labin
Italy;Veneto;Bibione
Austria;Carinthia;Maltschacher See
Croatia;Istria;Pula/Premantura
Croatia;Kvarner/Islands;Krk/Klimno
USA;Florida Keys;Keys
Croatia;Kvarner;Brseč
France;Pyrénées-Orientales;Le Barcarès
Italy;Trasimeno Lake;Tavernelle
Italy;Liguria Riviera Levante & Cinque Terre;Sestri Levante
France;Normandy;Cabourg
Italy;Tuscany Chianti;Mercatale Val di Pesa
Italy;Liguria Riviera Levante & Cinque Terre;Portovenere
Croatia;Istria;Pula/Vodnjan
Switzerland;Surselva;Disentis
Switzerland;Engadine;Pontresina
Switzerland;Mittelbünden;Arosa
Switzerland;Praettigau/Landwassertal;Davos - Schmitten
Switzerland;Ticino;Locarno
Switzerland;Viamala/Surses/Albulatal;Savognin
Switzerland;Engadine;Zuoz
Switzerland;Surselva;Flims
Switzerland;Valais;Bürchen
Switzerland;Surselva;Laax
Switzerland;Mittelbünden;Lenzerheide
Austria;Montafon;Schruns
Austria;Ötztal;Sölden
Austria;Montafon;Gaschurn
Austria;Tyrol;Fiss
Switzerland;Eastern Switzerland;Oberterzen
Austria;Tyrol;Kitzbühel
Switzerland;Surselva;Segnas
Switzerland;Viamala/Surses/Albulatal;Bivio
Switzerland;Alpes Vaudoises;Rougemont
USA;Orlando;Kissimmee
Germany;North Sea;Norddeich
Switzerland;Ticino;Caslano
Switzerland;Ticino;Someo
Switzerland;Jura;Saint-Ursanne
Switzerland;Engadine;St. Moritz
Austria;Tyrol;Wattens
Switzerland;Bernese Oberland;Lenk
Switzerland;Bernese Oberland;Gsteig bei Gstaad
Switzerland;Valais;Val-d'Illiez
France;Burgundy;Voutenay sur Cure
Switzerland;Valais;Anzère
Italy;Siena and sourroundings;Castel del Piano
France;Cote d'Azur;Grimaud
Switzerland;Engadine;Sils Maria
Switzerland;Valais;Stalden
France;Cote d'Azur;Menton
France;Cote d'Azur;Hyères
Italy;Tuscany Coast;Follonica
Switzerland;Jura;Mormont
Switzerland;Ticino;Castagnola
Switzerland;Valais;Veysonnaz
France;Luberon;Roussillon
Spain;Barcelona Costa Norte;Santa Susanna
Switzerland;Bernese Oberland;Wengen
France;Hérault-Aude;Limoux
Switzerland;Ticino;Solduno
Switzerland;Valais;Champex
Spain;Tenerife;Los Gigantes
France;Savoie - Haute Savoie;Les Bottières
France;Cote d'Azur;Saint-Tropez
France;Burgundy;Beaune
Italy;Versilia, Lunigiana and sourroundings;Massarosa
Switzerland;Bernese Oberland;Saanen
Switzerland;Ticino;Malvaglia
France;Cote d'Azur;Vence
Austria;Eastern Tyrol;Defereggental
Switzerland;Bernese Oberland;Schwanden ob Sigriswil
Switzerland;Valais;Saas-Grund
France;Provence;Châteaurenard
Switzerland;Jura;Le Noirmont
Italy;Tuscany Chianti;Ambra
Austria;Carinthia;Velden am Wörthersee
France;Dauphinoise;Les Deux Alpes
Switzerland;Ticino;Aquila
France;Hérault-Aude;Portiragnes
Italy;Liguria Riviera Levante & Cinque Terre;Camogli
Switzerland;Bernese Oberland;Kandersteg
Switzerland;Lake Geneva Region;Lausanne
Switzerland;Mittelbünden;St. Peter
France;Normandy;Deauville-Trouville
Croatia;Istria;Poreč
Switzerland;Eastern Switzerland;Unterterzen
Croatia;North Dalmatia;Zadar/Bibinje
Austria;Tyrol;Ischgl
France;Brittany - Northern;Landunvez
Spain;Costa del Sol;Estepona
France;Luberon;Saignon
Switzerland;Ticino;Vira
USA;Florida South-West;Marco Island
Switzerland;Jura;Sainte-Croix
Switzerland;Ticino;Agarone
Switzerland;Ticino;San Nazzaro
Spain;Tenerife;Arico
Switzerland;Valais;Zinal
Spain;La Palma;Fuencaliente
France;Hérault-Aude;La Grande Motte
Italy;Versilia, Lunigiana and sourroundings;Lido di Camaiore
France;Ile-de-France;Paris/12
Italy;Umbria;Bettona
Switzerland;Freiburg;Jaun
Italy;Liguria Riviera Levante & Cinque Terre;La Spezia
Italy;Lake Lugano;Porto Ceresio
Italy;Piemonte-Langhe & Monferrato;Alba
Switzerland;Praettigau/Landwassertal;Furna
Netherlands;Zeeland;Stavenisse
Switzerland;Valais;Vercorin
Italy;Emilia Romagna;Casal Borsetti
France;Pyrénées-Orientales;Collioure
Greece;Crete;Atsipopoulo
Switzerland;Valais;Randa
Italy;Emilia Romagna;Lido degli Estensi
Italy;Siena and sourroundings;Roccastrada
Italy;Tuscany Coast;Campiglia Marittima
Italy;Tuscany Chianti;Badia a Passignano
Portugal;Madeira;Madeira/Santana
Switzerland;Ticino;Bedretto
France;Gard-Lozère;Le Grau du Roi
Switzerland;Bernese Oberland;Goldswil
Switzerland;Ticino;Minusio
Switzerland;Engadine;La Punt Chamues-ch
France;Savoie - Haute Savoie;Les Houches
Italy;Tuscany Coast;Manciano
Italy;Tuscany Coast;Scarlino
Italy;Abruzzo/Molise;Silvi Marina
France;Brittany - Southern;Fouesnant
Switzerland;Freiburg;Schwarzsee
Germany;North Sea;Norden
Spain;Mallorca;Alcúdia
Switzerland;Ticino;Acquarossa
Switzerland;Valais;Ulrichen
Switzerland;Central Switzerland;Giswil
France;Savoie - Haute Savoie;La Chapelle d'Abondance
France;Cote d'Azur;Saint-Raphaël
Italy;Florence Countryside;Barberino del Mugello
Croatia;Istria;Barbariga
Italy;Sardinia;Costa Rei
Switzerland;Bernese Oberland;Beatenberg
France;Cote d'Azur;Bandol
Switzerland;Bernese Mittelland;Wangenried
France;Provence;Carpentras
France;Cote d'Azur;Le Lavandou
France;Brittany - Southern;Crozon-Morgat
Italy;Lake Lugano;Porlezza
Switzerland;Ticino;Cadro
Germany;Hunsrück;Kirchberg
Spain;Tenerife;Igueste
Switzerland;Lake Zurich Region;Wald
Italy;Tuscany Coast;San Vincenzo
Switzerland;Engadine;Madulain
France;Cote d'Azur;Saint Cyr sur Mer La Madrague
Italy;Sicily;Giardini Naxos
Switzerland;Valais;Bettmeralp
Switzerland;Central Switzerland;Weggis
Austria;Salzkammergut;Strobl
France;Luberon;Ménerbes
France;Cote d'Azur;Cap  Bénat
Spain;Costa Daurada;Alcanar
Netherlands;Zeeland;Brouwershaven
Croatia;North Dalmatia;Rovanjska
Italy;Tuscany Coast;Cecina
France;Hérault-Aude;Saint Pierre La Mer
Switzerland;Bernese Oberland;Lauenen b. Gstaad
United Kingdom;South-East;Cranbrook - Hawkhurst
Italy;Tuscany Coast;Grosseto
Italy;Tuscany Coast;Marina di Bibbona
France;Ile-de-France;Paris/4
Finland;Lappi;Savukoski
Croatia;North Dalmatia/Islands;Pašman/Dobropoljana
Italy;Emilia Romagna;Riccione
Italy;Sardinia;Golfo di Marinella
Italy;Lake Garda;Peschiera del Garda
Switzerland;Alpes Vaudoises;Les Diablerets
France;Lorraine-Vosges;La Bresse
France;Gard-Lozère;Bagnols sur Cèze
France;Luberon;Villelaure
Italy;Tuscany Coast;Vada
Italy;Emilia Romagna;Cattolica
Spain;Barcelona Costa Norte;Sant Cebrià de Vallalta
Italy;Abruzzo/Molise;Città Sant'Angelo
Spain;Costa del Sol;Calahonda
Italy;Lake Garda;Riva del Garda
Belgium;Coast;De Panne
Croatia;Istria;Rovinj/Kanfanar
France;Brittany - Southern;La-Forêt-Fouesnant
Italy;Trasimeno Lake;Passignano sul Trasimeno
France;Hérault-Aude;Narbonne-Plage
Italy;Aosta Valley;Courmayeur
Italy;Tuscany Coast;Monte Argentario
Switzerland;Ticino;Brissago
Italy;Emilia Romagna;Lido di Spina
Italy;Sicily;Siracusa
Italy;Florence Countryside;Vicchio
France;Ile-de-France;Paris/19
Spain;Mallorca;Llucmajor
France;Cote d'Azur;Bormes-les-Mimosas
Croatia;Central Dalmatia;Podstrana
Switzerland;Ticino;Cademario
United Kingdom;Yorkshire and the Humber;Cloughton
Italy;Tuscany Coast;Castagneto Carducci
Germany;Black Forest;Titisee-Neustadt
Italy;Tuscany Coast;Porto Santo Stefano
Switzerland;Ticino;Montagnola
France;Luberon;Saint Saturnin d'Apt
Switzerland;Ticino;Agra
Switzerland;Central Switzerland;Hellbühl
Italy;Siena and sourroundings;Montepulciano
Croatia;Central Dalmatia;Vodice/Jadrija
France;Brittany - Southern;Plonéour-Lanvern
Spain;Mallorca;Son Servera
Spain;Costa del Sol;Nerja
Italy;Arezzo, Cortona and surroundings;Lucignano
Spain;Costa del Sol;Málaga / Puerto de la Torre
Spain;Costa Blanca;Benissa
Italy;Florence Countryside;Pistoia
Italy;Lucca, Pisa and surroundings;Lucca
United Kingdom;South-West;Tintagel
Italy;Lake Como;Pianello Lario
USA;Florida South-West;Cape Coral
Italy;Sicily;Trappeto
Croatia;Istria;Poreč/Lanterna
United Kingdom;South-West;Barnstaple and Braunton
Spain;Costa del Sol;Benajarafe
Spain;Costa Daurada;Segur de Calafell
France;Provence;Lorgues
France;Dordogne-Lot&Garonne;Rouffignac
Croatia;South Dalmatia/Islands;Korčula/Korčula
France;Cote d'Azur;La Cadière d'Azur
Switzerland;Valais;Fiesch
Finland;Lappi;Pello
France;Cote d'Azur;Cogolin
Italy;Versilia, Lunigiana and sourroundings;Camaiore
France;Vendee- Western Loire;Pornic
Switzerland;Jura;Le Chenit
Switzerland;Bernese Oberland;Faulensee
France;Provence;Bédoin
France;Cote d'Azur;Saintes Maries de la Mer
Switzerland;Bernese Oberland;Brienz
Finland;Häme Pirkanmaa;Ruovesi
Italy;Umbria;Penna in Teverina
Switzerland;Central Switzerland;Lucerne
Italy;Veneto;Rosolina Mare
Portugal;Lisbon-Tejo Valley;Torres Novas
Croatia;North Dalmatia;Starigrad-Paklenica
Switzerland;Ticino;Bissone
Greece;Crete;Kalamaki
Italy;Siena and sourroundings;Pitigliano
Netherlands;Friesland;UItwellingerga
Switzerland;Ticino;Astano
France;Provence;Les Arcs sur Argens
Ireland;Cork and Kerry;Waterville
Finland;Varsinais-Suomi Satakunta;Somero
Italy;Liguria Riviera Ponente;Ospedaletti
Croatia;Central Dalmatia/Islands;Hvar/Brusje
Italy;Friuli-Venezia Giulia;Lignano
Switzerland;Ticino;Lugano
Germany;Black Forest;Schiltach
France;Gironde;Lacanau - Lac
Italy;Siena and sourroundings;Montalcino
Italy;Tuscany Coast;Piombino
Netherlands;Noord-Holland;Uitgeest
Germany;Allgau;Sonthofen
France;Corsica;Chiavari
Italy;Florence Countryside;Dicomano
France;Luberon;Robion
Italy;Sicily;San Vito lo Capo
Spain;Mallorca;Pollença
United Kingdom;Greater London;London Kensington
Switzerland;Praettigau/Landwassertal;Pany
France;Hérault-Aude;Port Leucate
Italy;Lake Como;Schignano
France;Burgundy;Tournus
Italy;Siena and sourroundings;Radicofani
Spain;Mallorca;Can Picafort
Austria;Ötztal;Umhausen
Italy;Sardinia;Sant'Anna Arresi
France;Cote d'Azur;La Ciotat
Italy;Versilia, Lunigiana and sourroundings;Torre del Lago Puccini
Croatia;Istria;Poreč/Buići
Ireland;West Ireland;Clonbur
Switzerland;Jura;Undervelier
Germany;Allgau;Lechbruck am See
Spain;Costa Brava;Tossa de Mar
Spain;Costa Blanca;La Nucia
Denmark;South-western Jutland;Blaavand
Spain;Costa Brava;Playa de Aro
Austria;Tyrol;Pians
Switzerland;Ticino;Sessa
Switzerland;Eastern Switzerland;Elm
Italy;Versilia, Lunigiana and sourroundings;Forte dei Marmi
Italy;Tuscany Chianti;San Casciano Val di Pesa
France;Cote d'Azur;Six Fours La Coudoulière
Switzerland;Ticino;Carona
Italy;Lake Maggiore;Isola Dei Pescatori
Croatia;Central Dalmatia/Islands;Hvar/Hvar
